date,ticker,spot,total_gex,gamma_regime,flip_level,flip_dist_pct,put_flow_building
2026-06-09,SPY,735.44,-1812650523.41,SHORT_FRAGILE,,,True
2026-06-09,QQQ,705.09,-1357018901.26,SHORT_FRAGILE,,,True
2026-06-09,PANW,258.68,,UNKNOWN,,,True
2026-06-09,CNC,66.05,,UNKNOWN,,,False
2026-06-09,KRC,38.91,,UNKNOWN,,,False
2026-06-09,FTNT,137.37,,UNKNOWN,,,True
2026-06-09,GWW,1324.2,,UNKNOWN,,,False
2026-06-09,PBF,40.56,,UNKNOWN,,,False
2026-06-09,TFC,49.33,,UNKNOWN,,,True
2026-06-09,PSX,178.97,,UNKNOWN,,,False
2026-06-09,UNH,412.31,,UNKNOWN,,,False
2026-06-09,PINS,21.77,,UNKNOWN,,,True
2026-06-09,WFC,81.76,,UNKNOWN,,,True
2026-06-09,D,66.02,,UNKNOWN,,,False
2026-06-09,ETSY,69.2,,UNKNOWN,,,False
2026-06-09,ABBV,226.23,,UNKNOWN,,,False
2026-06-09,SJM,111.38,,UNKNOWN,,,False
2026-06-09,NCLH,19.09,,UNKNOWN,,,False
2026-06-09,TRV,298.93,,UNKNOWN,,,False
2026-06-09,GEO,26.68,,UNKNOWN,,,False
2026-06-09,BBY,75.22,,UNKNOWN,,,False
2026-06-09,PCG,16.66,,UNKNOWN,,,False
2026-06-10,SPY,732.79,,UNKNOWN,,,True
2026-06-10,QQQ,701.35,,UNKNOWN,,,True
2026-06-10,MMM,155.06,,UNKNOWN,,,False
2026-06-10,LLY,1139.0,,UNKNOWN,,,False
2026-06-10,AXON,443.06,,UNKNOWN,,,False
2026-06-10,AVTR,9.96,,UNKNOWN,,,False
2026-06-10,GM,83.52,,UNKNOWN,,,False
2026-06-10,UNH,412.87,,UNKNOWN,,,False
2026-06-10,GWW,1336.31,,UNKNOWN,,,False
2026-06-10,RCL,279.01,,UNKNOWN,,,True
2026-06-10,RDDT,174.11,,UNKNOWN,,,False
2026-06-10,GEO,27.23,,UNKNOWN,,,False
2026-06-10,MGNI,15.7,,UNKNOWN,,,False
2026-06-10,CSX,46.9,,UNKNOWN,,,False
2026-06-10,TWLO,200.72,,UNKNOWN,,,False
2026-06-10,CNC,66.33,,UNKNOWN,,,False
2026-06-10,GE,328.42,,UNKNOWN,,,False
2026-06-10,FTNT,136.7,,UNKNOWN,,,True
2026-06-10,FITB,52.71,,UNKNOWN,,,True
2026-06-10,AMGN,343.61,,UNKNOWN,,,True
2026-06-10,PRKS,44.51,,UNKNOWN,,,False
2026-06-10,ABBV,226.44,,UNKNOWN,,,False
2026-06-11,SPY,728.91,,UNKNOWN,,,True
2026-06-11,QQQ,699.97,,UNKNOWN,,,True
2026-06-11,UNH,405.0,,UNKNOWN,,,False
2026-06-11,WFC,82.5,,UNKNOWN,,,True
2026-06-11,APH,150.08,,UNKNOWN,,,False
2026-06-11,RGEN,131.37,,UNKNOWN,,,False
2026-06-11,CSX,46.71,,UNKNOWN,,,False
2026-06-11,HIMS,27.75,,UNKNOWN,,,False
2026-06-11,GEO,28.34,,UNKNOWN,,,False
2026-06-11,GM,79.99,,UNKNOWN,,,False
2026-06-11,TDG,1217.0,,UNKNOWN,,,False
2026-06-11,AMC,2.11,,UNKNOWN,,,False
2026-06-11,NWL,4.42,,UNKNOWN,,,False
2026-06-11,TRIP,11.59,,UNKNOWN,,,False
2026-06-11,ATI,185.0,,UNKNOWN,,,False
2026-06-11,BROS,60.71,,UNKNOWN,,,False
2026-06-11,C,134.81,,UNKNOWN,,,False
2026-06-11,BWA,71.0,,UNKNOWN,,,False
2026-06-11,LQDA,66.54,,UNKNOWN,,,True
2026-06-11,DLTR,110.5,,UNKNOWN,,,False
2026-06-11,PNC,232.64,,UNKNOWN,,,False
2026-06-11,RH,149.0,,UNKNOWN,,,True
2026-06-12,SPY,739.46,,UNKNOWN,,,True
2026-06-12,QQQ,716.65,,UNKNOWN,,,True
2026-06-12,BAC,55.34,,UNKNOWN,,,False
2026-06-12,OSCR,28.8,,UNKNOWN,,,False
2026-06-12,C,137.72,,UNKNOWN,,,False
2026-06-12,DOCN,177.0,,UNKNOWN,,,True
2026-06-12,CRS,572.1,,UNKNOWN,,,False
2026-06-12,FTNT,144.51,,UNKNOWN,,,False
2026-06-12,APH,152.45,,UNKNOWN,,,False
2026-06-12,USB,57.93,,UNKNOWN,,,False
2026-06-12,HAE,79.84,,UNKNOWN,,,False
2026-06-12,DKNG,30.2,,UNKNOWN,,,False
2026-06-12,ABBV,225.0,,UNKNOWN,,,False
2026-06-12,KO,82.73,,UNKNOWN,,,False
2026-06-12,DNOW,13.66,,UNKNOWN,,,False
2026-06-12,NWL,4.61,,UNKNOWN,,,False
2026-06-12,HUM,368.8,,UNKNOWN,,,True
2026-06-12,RH,160.0,,UNKNOWN,,,True
2026-06-12,HIMS,28.71,,UNKNOWN,,,False
2026-06-12,UNH,406.78,,UNKNOWN,,,False
2026-06-12,DECK,114.59,,UNKNOWN,,,False
2026-06-12,GO,9.38,,UNKNOWN,,,False
